id,da aNo ificacao,ocupacaoSuspei oCli,ocupacaoSuspei oU i,ocupacaoConfirmadoCli,ocupacaoConfirmadoU i,ocupacaoCovidU i,ocupacaoCovidCli,ocupacaoHospi alarU i,ocupacaoHospi alarCli,saidaSuspei aObi os,saidaSuspei aAl as,saidaConfirmadaObi os,saidaConfirmadaAl as,origem,es adoNo ificacao,municipioNo ificacao,es ado,municipio,_crea ed_a,_upda ed_a,target
1290546,2022-01-01 03:00:05,0,0,0,0,1,2,0,0,0,0,0,0,parse-cloud,Paraná,Guarapuava,Paraná,Guarapuava,2022-01-01 10:44:55.403,2022-01-01 10:44:55.403,0
1290547,2022-01-01 03:00:57,0,0,0,0,2,1,7,18,0,0,0,0,parse-cloud,Minas Gerais,Leopoldina,Minas Gerais,Leopoldina,2022-01-01 10:45:57.241,2022-01-01 10:45:57.241,0
1290552,2022-01-01 03:00:08,0,0,0,0,4,3,10,26,0,0,0,0,parse-cloud,Minas Gerais,Pirapora,Minas Gerais,Pirapora,2022-01-01 10:53:21.706,2022-01-01 10:53:21.706,0
1290554,2022-01-01 03:00:05,0,0,0,0,5,10,0,14,1,0,0,0,parse-cloud,Minas Gerais,Bom Despacho,Minas Gerais,Bom Despacho,2022-01-01 10:55:16.192,2022-01-01 10:55:16.192,0
1290555,2022-01-01 03:00:45,0,0,0,0,0,0,0,16,48,78,37,157,parse-cloud,Minas Gerais,Pedra Azul,Minas Gerais,Pedra Azul,2022-01-01 10:55:32.490,2022-01-01 10:55:32.490,0
1290557,2022-01-01 03:00:00,0,0,0,0,4,2,0,11,0,2,0,1,parse-cloud,São Paulo,Novo Horizon e,São Paulo,Novo Horizon e,2022-01-01 10:57:14.836,2022-01-01 11:19:26.854,0
1290562,2022-01-01 03:00:30,0,0,0,0,0,2,10,37,0,2,0,0,parse-cloud,Minas Gerais,Piumhi,Minas Gerais,Piumhi,2022-01-01 11:06:55.885,2022-01-01 11:06:55.885,0
1290563,2022-01-01 03:00:21,0,0,0,0,0,1,0,2,0,0,0,0,parse-cloud,São Paulo,Cas ilho,São Paulo,Cas ilho,2022-01-01 11:07:48.125,2022-01-01 11:07:48.125,0
1290564,2022-01-01 03:00:43,0,0,0,0,0,0,14,60,0,0,0,0,parse-cloud,São Paulo,São Paulo,São Paulo,São Paulo,2022-01-01 11:08:15.258,2022-01-01 11:08:15.258,0
1290565,2022-01-01 03:00:41,0,0,0,0,0,1,4,21,0,0,0,0,parse-cloud,São Paulo,Caieiras,São Paulo,Caieiras,2022-01-01 11:12:25.262,2022-01-01 11:12:25.262,0
